Roll, Pitch, Yaw
-0.676141,0.164599,-1.3335
-0.679283,0.168857,-1.32928
-0.676494,0.167596,-1.33067
-0.666634,0.165271,-1.32952
-0.656607,0.159706,-1.33495
-0.643825,0.14917,-1.35168
-0.645416,0.14842,-1.3524
-0.644526,0.146352,-1.35543
-0.652164,0.152245,-1.35013
-0.653595,0.157829,-1.34276
-0.656243,0.154076,-1.34787
-0.652421,0.14917,-1.35375
-0.647879,0.149018,-1.35294
-0.639585,0.153576,-1.34114
-0.637759,0.153175,-1.34119
-0.642182,0.146312,-1.35137
-0.639693,0.149129,-1.34546
-0.64632,0.156847,-1.33811
-0.657657,0.155086,-1.34206
-0.666056,0.157972,-1.34055
-0.669922,0.159265,-1.34042
-0.672223,0.159919,-1.34026
-0.659591,0.154094,-1.34449
-0.656545,0.14385,-1.36011
-0.657701,0.139512,-1.36608
-0.660918,0.144727,-1.35865
-0.664249,0.148176,-1.35424
-0.667329,0.149455,-1.35385
-0.668731,0.148747,-1.35559
-0.672571,0.148642,-1.35775
-0.668268,0.145424,-1.3605
-0.663775,0.142991,-1.36308
-0.66058,0.138717,-1.36805
-0.663239,0.136052,-1.37112
-0.659289,0.140543,-1.36349
-0.668427,0.138908,-1.36799
-0.680336,0.146553,-1.36171
-0.688321,0.15575,-1.35216
-0.692714,0.16302,-1.34466
-0.695539,0.16597,-1.34173
-0.691225,0.156424,-1.35444
-0.680333,0.155802,-1.35136
-0.672601,0.148214,-1.35956
-0.664865,0.143612,-1.36439
-0.667329,0.144582,-1.36227
-0.667483,0.151306,-1.35159
-0.671746,0.161647,-1.33861
-0.679598,0.165243,-1.33789
-0.676316,0.161085,-1.34289
-0.673559,0.160221,-1.34408
-0.663704,0.149047,-1.36028
-0.649916,0.145772,-1.35869
-0.643456,0.144674,-1.35679
-0.639895,0.144782,-1.35465
-0.648242,0.148216,-1.35237
-0.65902,0.145598,-1.359
-0.673441,0.150922,-1.35654
-0.674726,0.157897,-1.34709
-0.673831,0.156732,-1.34863
-0.669471,0.155601,-1.34824
-0.657414,0.148625,-1.35582
-0.647982,0.13952,-1.36705
-0.64687,0.135994,-1.37221
-0.650428,0.140525,-1.36698
-0.655124,0.142249,-1.36587
-0.655591,0.148347,-1.35814
-0.66384,0.148209,-1.36049
-0.660025,0.145575,-1.36248
-0.656246,0.145014,-1.36129
-0.644701,0.142495,-1.36108
-0.636023,0.138783,-1.36467
-0.636188,0.137227,-1.36697
-0.645936,0.14044,-1.364
-0.65348,0.146086,-1.35818
-0.667773,0.146028,-1.36134
-0.67583,0.153256,-1.35519
-0.677483,0.159475,-1.34582
-0.676584,0.161207,-1.34464
-0.672606,0.157816,-1.3481
-0.665792,0.146762,-1.36404
-0.664251,0.142218,-1.36991
-0.666213,0.149708,-1.35911
-0.6629,0.153461,-1.35157
-0.665578,0.15247,-1.35398
-0.667388,0.153465,-1.35298
-0.665771,0.154408,-1.35066
-0.664178,0.149413,-1.35729
-0.663676,0.150051,-1.35543
-0.660698,0.145299,-1.36081
-0.658411,0.144783,-1.36035
-0.657338,0.146243,-1.35759
-0.657715,0.14958,-1.35297
-0.66065,0.148816,-1.35469
-0.66736,0.150063,-1.35425
-0.671594,0.156516,-1.34577
-0.678053,0.155332,-1.34835
-0.678584,0.152272,-1.35365
-0.668533,0.148005,-1.3582
-0.659183,0.14483,-1.35777
-0.647659,0.145726,-1.3499
-0.652473,0.141271,-1.35706
-0.653008,0.143493,-1.35521
-0.652764,0.146989,-1.34934
-0.657878,0.148906,-1.34921
-0.662671,0.148173,-1.35225
-0.662655,0.149998,-1.35009
-0.661233,0.146658,-1.35263
-0.656119,0.138227,-1.36493
-0.64783,0.13558,-1.3647
-0.647246,0.139526,-1.35772
-0.649992,0.14128,-1.35593
-0.659121,0.139609,-1.36142
-0.661849,0.136072,-1.36703
-0.663661,0.133525,-1.3707
-0.65824,0.14345,-1.35402
-0.654452,0.150009,-1.34447
-0.647629,0.14138,-1.35652
-0.636769,0.136603,-1.36033
-0.63549,0.140505,-1.35329
-0.63663,0.136331,-1.35978
-0.636226,0.141666,-1.35089
-0.640768,0.14527,-1.34743
-0.646379,0.156466,-1.33464
-0.649904,0.155338,-1.338
-0.647429,0.154292,-1.33877
-0.651436,0.155809,-1.3375
-0.642258,0.153555,-1.33535
-0.6402,0.150082,-1.33879
-0.64448,0.139531,-1.3547
-0.649448,0.142163,-1.35118
-0.653409,0.147784,-1.34514
-0.670056,0.154975,-1.34138
-0.669084,0.162619,-1.32935
-0.668158,0.167612,-1.32373
-0.659859,0.165821,-1.32327
-0.651664,0.157731,-1.33308
-0.643167,0.148722,-1.34509
-0.641483,0.147481,-1.34551
-0.636779,0.153565,-1.33256
-0.647117,0.157093,-1.33219
-0.648339,0.159802,-1.32854
-0.648082,0.16383,-1.32244
-0.643587,0.167341,-1.31726
-0.645849,0.165034,-1.32057
-0.644313,0.153076,-1.33759
-0.644147,0.154159,-1.3351
-0.642322,0.147301,-1.34492
-0.646164,0.150104,-1.34134
-0.656184,0.151347,-1.34289
-0.657594,0.151905,-1.34197
-0.665721,0.156947,-1.33818
-0.671478,0.165632,-1.3298
-0.673414,0.155606,-1.34406
-0.664424,0.15931,-1.33296
-0.659057,0.154156,-1.33986
-0.655891,0.146766,-1.34941
-0.654578,0.137864,-1.36174
-0.65437,0.148283,-1.34697
-0.661244,0.147105,-1.34961
-0.665544,0.154511,-1.3421
-0.662082,0.154134,-1.34218
-0.662076,0.152615,-1.3441
-0.66422,0.163007,-1.33061
-0.659307,0.160156,-1.3344
-0.659458,0.154379,-1.34248
-0.658261,0.154819,-1.3403
-0.652278,0.159677,-1.32999
-0.652041,0.160383,-1.32911
-0.661134,0.166384,-1.32377
-0.670162,0.165314,-1.32934
-0.677604,0.171015,-1.32399
-0.678172,0.169685,-1.32695
-0.673342,0.169228,-1.32547
-0.668287,0.159583,-1.33962
-0.666018,0.160281,-1.33705
-0.658519,0.157576,-1.33927
-0.655339,0.155264,-1.34011
-0.658346,0.158184,-1.33683
-0.66113,0.159528,-1.33696
-0.66186,0.164725,-1.331
-0.658183,0.161223,-1.33538
-0.653202,0.155935,-1.3416
-0.652472,0.145065,-1.35804
-0.645384,0.142119,-1.35905
-0.641084,0.136537,-1.36722
-0.642861,0.137959,-1.36435
-0.646731,0.143297,-1.35766
-0.654851,0.146931,-1.35416
-0.661773,0.152275,-1.34901
-0.666954,0.153346,-1.34962
-0.671081,0.145165,-1.36344
-0.664202,0.148648,-1.35594
-0.658399,0.138208,-1.37095
-0.647435,0.136192,-1.3697
-0.646988,0.139627,-1.36254
